,close,strike_price,price,rf,S/K,day_diff,date,exdate,impl_volatility,vega
2280,1459.37,1025.0,420.15,0.02,0.7023578667507212,270.0,2013-01-03,2013-09-30,0.26916799999999996,141.345
2281,1459.37,1050.0,396.9,0.02,0.7194885464275681,270.0,2013-01-03,2013-09-30,0.264599,160.5234
2282,1459.37,1075.0,373.45000000000005,0.02,0.736619226104415,270.0,2013-01-03,2013-09-30,0.25746399999999997,178.1134
2283,1459.37,1100.0,350.25,0.02,0.7537499057812619,270.0,2013-01-03,2013-09-30,0.250646,197.3783
2284,1459.37,1125.0,327.70000000000005,0.02,0.7708805854581087,270.0,2013-01-03,2013-09-30,0.24577,220.2918
2285,1459.37,1150.0,305.04999999999995,0.02,0.7880112651349556,270.0,2013-01-03,2013-09-30,0.239075,242.2643
2286,1459.37,1175.0,283.05,0.02,0.8051419448118025,270.0,2013-01-03,2013-09-30,0.233713,266.9325
2287,1459.37,1200.0,261.4,0.02,0.8222726244886492,270.0,2013-01-03,2013-09-30,0.228183,292.2971
2288,1459.37,1225.0,240.0,0.02,0.8394033041654961,270.0,2013-01-03,2013-09-30,0.222063,317.7084
2289,1459.37,1250.0,219.15,0.02,0.856533983842343,270.0,2013-01-03,2013-09-30,0.216212,343.7675
2290,1459.37,1275.0,198.85000000000002,0.02,0.8736646635191898,270.0,2013-01-03,2013-09-30,0.21042199999999997,369.8151
2291,1459.37,1300.0,179.05,0.02,0.8907953431960367,270.0,2013-01-03,2013-09-30,0.204397,395.1226
2292,1459.37,1325.0,160.15,0.02,0.9079260228728836,270.0,2013-01-03,2013-09-30,0.198971,419.5434
2293,1459.37,1350.0,141.85,0.02,0.9250567025497304,270.0,2013-01-03,2013-09-30,0.193205,441.74800000000005
2294,1459.37,1375.0,124.15,0.02,0.9421873822265773,270.0,2013-01-03,2013-09-30,0.186978,460.9777
2295,1459.37,1400.0,107.4,0.02,0.9593180619034242,270.0,2013-01-03,2013-09-30,0.180894,476.4153
2296,1459.37,1425.0,91.75,0.02,0.9764487415802711,270.0,2013-01-03,2013-09-30,0.175061,486.8607
2297,1459.37,1450.0,77.15,0.02,0.9935794212571178,270.0,2013-01-03,2013-09-30,0.16918,491.0779
2298,1459.37,1475.0,63.6,0.02,1.0107101009339647,270.0,2013-01-03,2013-09-30,0.163069,487.8469
2299,1459.37,1500.0,51.35,0.02,1.0278407806108116,270.0,2013-01-03,2013-09-30,0.157059,476.0233
2300,1459.37,1525.0,40.75,0.02,1.0449714602876585,270.0,2013-01-03,2013-09-30,0.151756,455.1381
2301,1459.37,1550.0,31.45,0.02,1.0621021399645054,270.0,2013-01-03,2013-09-30,0.146345,424.7968
2302,1459.37,1575.0,23.85,0.02,1.079232819641352,270.0,2013-01-03,2013-09-30,0.141789,386.7128
2303,1459.37,1600.0,17.4,0.02,1.096363499318199,270.0,2013-01-03,2013-09-30,0.136854,340.8554
2304,1459.37,1625.0,12.5,0.02,1.1134941789950459,270.0,2013-01-03,2013-09-30,0.132933,292.1755
2305,1459.37,1650.0,8.65,0.02,1.1306248586718928,270.0,2013-01-03,2013-09-30,0.12897899999999998,241.433
2306,1459.37,1675.0,5.75,0.02,1.1477555383487397,270.0,2013-01-03,2013-09-30,0.125086,191.5534
2307,1459.37,1700.0,3.9000000000000004,0.02,1.1648862180255866,270.0,2013-01-03,2013-09-30,0.122927,150.3641
2308,1459.37,1725.0,2.55,0.02,1.1820168977024332,270.0,2013-01-03,2013-09-30,0.120651,113.7187
2309,1459.37,1750.0,1.75,0.02,1.1991475773792801,270.0,2013-01-03,2013-09-30,0.12003699999999999,87.17435
2310,1459.37,1800.0,0.925,0.02,1.233408936732974,270.0,2013-01-03,2013-09-30,0.121592,53.66797
