,close,strike_price,price,rf,S/K,day_diff,weekNo,date,exdate,impl_volatility,vega
5080,2020.58,1850.0,184.15,0.02,1.0922054054054053,60.0,2,2015-01-05,2015-03-06,0.235312,204.5798
5130,2020.58,2100.0,14.1,0.02,0.9621809523809524,60.0,2,2015-01-05,2015-03-06,0.132856,246.6064
10441,2025.9,1945.0,95.7,0.02,1.0415938303341903,30.0,2,2015-01-07,2015-02-06,0.206814,176.9724
10491,2025.9,2250.0,0.175,0.02,0.9004000000000001,30.0,2,2015-01-07,2015-02-06,0.149874,10.27406
20186,2028.26,2065.0,31.0,0.02,0.9822082324455206,60.0,3,2015-01-12,2015-03-13,0.149231,309.5292
25553,2011.27,1925.0,101.9,0.02,1.0448155844155844,30.0,3,2015-01-14,2015-02-13,0.22139099999999998,174.9538
25603,2011.27,2175.0,0.44999999999999996,0.02,0.9247218390804598,30.0,3,2015-01-14,2015-02-13,0.131746,23.83459
33292,2022.55,1850.0,203.4,0.02,1.0932702702702704,150.0,4,2015-01-20,2015-06-19,0.212524,406.1732
33295,2022.55,1925.0,145.45,0.02,1.0506753246753247,150.0,4,2015-01-20,2015-06-19,0.193551,470.0803
33299,2022.55,2000.0,94.0,0.02,1.011275,150.0,4,2015-01-20,2015-06-19,0.173861,509.2159
33302,2022.55,2075.0,52.05,0.02,0.974722891566265,150.0,4,2015-01-20,2015-06-19,0.154329,493.3478
33305,2022.55,2150.0,22.9,0.02,0.9407209302325581,150.0,4,2015-01-20,2015-06-19,0.136403,393.0406
33308,2022.55,2225.0,7.3,0.02,0.9090112359550562,150.0,4,2015-01-20,2015-06-19,0.12124700000000001,228.3334
35686,2032.12,1960.0,87.2,0.02,1.036795918367347,30.0,4,2015-01-21,2015-02-20,0.196052,183.7085
35736,2032.12,2210.0,0.35,0.02,0.9195113122171945,30.0,4,2015-01-21,2015-02-20,0.134864,19.33734
36282,2032.12,1850.0,226.45,0.02,1.0984432432432432,240.0,4,2015-01-21,2015-09-18,0.208031,546.3159
36284,2032.12,1900.0,188.4,0.02,1.0695368421052631,240.0,4,2015-01-21,2015-09-18,0.196995,588.1619
36286,2032.12,1950.0,152.89999999999998,0.02,1.0421128205128205,240.0,4,2015-01-21,2015-09-18,0.186421,622.5007
36288,2032.12,2000.0,119.55,0.02,1.01606,240.0,4,2015-01-21,2015-09-18,0.17494400000000002,644.1075
36290,2032.12,2050.0,89.6,0.02,0.9912780487804878,240.0,4,2015-01-21,2015-09-18,0.16375499999999998,646.8189
36292,2032.12,2100.0,64.05,0.02,0.9676761904761905,240.0,4,2015-01-21,2015-09-18,0.15355,623.7662
36294,2032.12,2150.0,42.85,0.02,0.9451720930232558,240.0,4,2015-01-21,2015-09-18,0.143547,569.6516
36296,2032.12,2200.0,26.6,0.02,0.923690909090909,240.0,4,2015-01-21,2015-09-18,0.134381,484.7307
36298,2032.12,2250.0,15.4,0.02,0.9031644444444444,240.0,4,2015-01-21,2015-09-18,0.126844,380.1563
46790,2057.09,1890.0,173.0,0.02,1.0884074074074075,60.0,5,2015-01-26,2015-03-27,0.19258599999999998,179.7756
46840,2057.09,2140.0,8.45,0.02,0.9612570093457945,60.0,5,2015-01-26,2015-03-27,0.11001199999999998,213.5059
52362,2002.16,1990.0,45.15,0.02,1.0061105527638192,30.0,5,2015-01-28,2015-02-27,0.179255,223.2076
56717,2021.25,1850.0,193.6,0.02,1.0925675675675677,120.0,5,2015-01-29,2015-05-29,0.20867600000000003,342.9375
56722,2021.25,1975.0,98.25,0.02,1.0234177215189872,120.0,5,2015-01-29,2015-05-29,0.17419600000000002,445.6219
56727,2021.25,2100.0,30.1,0.02,0.9625,120.0,5,2015-01-29,2015-05-29,0.139303,402.9323
56732,2021.25,2225.0,3.65,0.02,0.9084269662921348,120.0,5,2015-01-29,2015-05-29,0.11461199999999999,145.766
59115,1994.99,1875.0,140.45,0.02,1.0639946666666666,60.0,5,2015-01-30,2015-03-31,0.220218,246.9188
59165,1994.99,2125.0,5.949999999999999,0.02,0.9388188235294118,60.0,5,2015-01-30,2015-03-31,0.133882,156.5019
59726,1994.99,1975.0,78.5,0.02,1.0101215189873418,90.0,5,2015-01-30,2015-04-30,0.18501700000000001,388.7339
63020,2020.85,1875.0,197.4,0.02,1.0777866666666667,240.0,6,2015-02-02,2015-09-30,0.19931600000000002,573.121
63022,2020.85,1925.0,161.3,0.02,1.0497922077922077,240.0,6,2015-02-02,2015-09-30,0.188865,610.316
63024,2020.85,1975.0,127.4,0.02,1.0232151898734176,240.0,6,2015-02-02,2015-09-30,0.177726,636.0731
63026,2020.85,2025.0,97.15,0.02,0.9979506172839506,240.0,6,2015-02-02,2015-09-30,0.167442,644.6084
63028,2020.85,2075.0,70.85,0.02,0.9739036144578312,240.0,6,2015-02-02,2015-09-30,0.157667,629.4219
63030,2020.85,2125.0,48.5,0.02,0.9509882352941176,240.0,6,2015-02-02,2015-09-30,0.14768599999999998,584.8345
63032,2020.85,2175.0,30.85,0.02,0.9291264367816091,240.0,6,2015-02-02,2015-09-30,0.138209,508.9429
63034,2020.85,2225.0,18.3,0.02,0.908247191011236,240.0,6,2015-02-02,2015-09-30,0.130228,409.7183
67927,2041.51,1920.0,124.7,0.02,1.0632864583333332,30.0,6,2015-02-04,2015-03-06,0.179891,110.1825
67977,2041.51,2170.0,0.525,0.02,0.9407880184331797,30.0,6,2015-02-04,2015-03-06,0.10953,30.85587
78169,2046.74,2050.0,47.85,0.02,0.998409756097561,60.0,7,2015-02-09,2015-04-10,0.158331,327.1624
83743,2068.53,2025.0,60.45,0.02,1.0214962962962963,30.0,7,2015-02-11,2015-03-13,0.158389,207.9885
83793,2068.53,2290.0,0.22499999999999998,0.02,0.903288209606987,30.0,7,2015-02-11,2015-03-13,0.150057,12.609760000000001
95190,2099.68,2125.0,15.45,0.02,0.9880847058823529,30.0,8,2015-02-18,2015-03-20,0.114482,218.1437
98868,2097.45,1925.0,193.3,0.02,1.0895844155844154,120.0,8,2015-02-19,2015-06-19,0.19711199999999998,351.6635
98873,2097.45,1955.0,168.2,0.02,1.0728644501278772,120.0,8,2015-02-19,2015-06-19,0.18824000000000002,381.3042
98878,2097.45,1980.0,148.1,0.02,1.0593181818181818,120.0,8,2015-02-19,2015-06-19,0.18121199999999998,405.6799
98884,2097.45,2005.0,128.64999999999998,0.02,1.0461097256857854,120.0,8,2015-02-19,2015-06-19,0.17399,428.3924
98889,2097.45,2030.0,109.7,0.02,1.0332266009852216,120.0,8,2015-02-19,2015-06-19,0.166002,448.1865
98894,2097.45,2055.0,92.1,0.02,1.0206569343065692,120.0,8,2015-02-19,2015-06-19,0.158866,463.9471
98899,2097.45,2080.0,75.6,0.02,1.008389423076923,120.0,8,2015-02-19,2015-06-19,0.151649,473.3688
98904,2097.45,2105.0,60.35,0.02,0.9964133016627078,120.0,8,2015-02-19,2015-06-19,0.144318,474.1447
98909,2097.45,2130.0,46.599999999999994,0.02,0.9847183098591549,120.0,8,2015-02-19,2015-06-19,0.13702,463.7104
98914,2097.45,2155.0,34.85,0.02,0.9732946635730858,120.0,8,2015-02-19,2015-06-19,0.13048800000000002,440.0588
98919,2097.45,2180.0,25.0,0.02,0.9621330275229357,120.0,8,2015-02-19,2015-06-19,0.124293,402.2498
98924,2097.45,2205.0,17.0,0.02,0.9512244897959183,120.0,8,2015-02-19,2015-06-19,0.11821,350.7358
98929,2097.45,2275.0,4.7,0.02,0.9219560439560439,120.0,8,2015-02-19,2015-06-19,0.106583,182.19299999999998
102272,2110.3,1925.0,218.95,0.02,1.0962597402597403,210.0,8,2015-02-20,2015-09-18,0.19212200000000001,510.7105
102274,2110.3,1975.0,179.64999999999998,0.02,1.068506329113924,210.0,8,2015-02-20,2015-09-18,0.18085199999999998,558.2471
102276,2110.3,2025.0,142.85000000000002,0.02,1.0421234567901236,210.0,8,2015-02-20,2015-09-18,0.16977799999999998,598.6225
102278,2110.3,2075.0,108.65,0.02,1.0170120481927711,210.0,8,2015-02-20,2015-09-18,0.158115,625.025
102280,2110.3,2125.0,77.9,0.02,0.9930823529411765,210.0,8,2015-02-20,2015-09-18,0.146174,628.5921
102282,2110.3,2175.0,52.400000000000006,0.02,0.9702528735632184,210.0,8,2015-02-20,2015-09-18,0.13561099999999998,598.8657
102284,2110.3,2225.0,32.25,0.02,0.9484494382022473,210.0,8,2015-02-20,2015-09-18,0.125642,528.6728
102286,2110.3,2275.0,17.9,0.02,0.9276043956043957,210.0,8,2015-02-20,2015-09-18,0.116809,421.6966
106976,2109.66,2030.0,98.35,0.02,1.0392413793103448,60.0,9,2015-02-23,2015-04-24,0.160145,283.2764
112688,2113.86,2155.0,7.3,0.02,0.9809095127610209,30.0,9,2015-02-25,2015-03-27,0.095164,178.8489
123595,2117.39,2085.0,60.25,0.02,1.015534772182254,60.0,10,2015-03-02,2015-05-01,0.134888,326.8893
124085,2117.39,2025.0,122.5,0.02,1.0456246913580247,120.0,10,2015-03-02,2015-06-30,0.158157,426.1855
124090,2117.39,2150.0,39.900000000000006,0.02,0.9848325581395349,120.0,10,2015-03-02,2015-06-30,0.121456,464.1874
124095,2117.39,2275.0,3.9000000000000004,0.02,0.9307208791208791,120.0,10,2015-03-02,2015-06-30,0.09316,176.5228
126233,2107.78,2000.0,112.1,0.02,1.05389,30.0,10,2015-03-03,2015-04-02,0.168511,128.9017
126283,2107.78,2250.0,0.275,0.02,0.9367911111111112,30.0,10,2015-03-03,2015-04-02,0.105055,19.585820000000002
127509,2107.78,1975.0,164.25,0.02,1.0672303797468354,150.0,10,2015-03-03,2015-07-31,0.177618,451.3798
127512,2107.78,2050.0,107.15,0.02,1.0281853658536586,150.0,10,2015-03-03,2015-07-31,0.15653,514.4928
127515,2107.78,2125.0,59.05,0.02,0.9918964705882354,150.0,10,2015-03-03,2015-07-31,0.13578099999999999,529.65
127518,2107.78,2200.0,24.6,0.02,0.9580818181818183,150.0,10,2015-03-03,2015-07-31,0.116532,440.7975
127521,2107.78,2275.0,6.75,0.02,0.9264967032967034,150.0,10,2015-03-03,2015-07-31,0.100989,246.4004
130933,2098.53,1925.0,202.10000000000002,0.02,1.0901454545454548,180.0,10,2015-03-04,2015-08-31,0.186564,463.673
130934,2098.53,1950.0,181.9,0.02,1.0761692307692308,180.0,10,2015-03-04,2015-08-31,0.180425,488.7717
130935,2098.53,1975.0,162.3,0.02,1.062546835443038,180.0,10,2015-03-04,2015-08-31,0.17432899999999998,512.7935
130936,2098.53,2000.0,143.2,0.02,1.0492650000000001,180.0,10,2015-03-04,2015-08-31,0.167937,534.7909999999999
130937,2098.53,2025.0,124.85,0.02,1.0363111111111112,180.0,10,2015-03-04,2015-08-31,0.161573,553.9858
130938,2098.53,2050.0,107.3,0.02,1.0236731707317075,180.0,10,2015-03-04,2015-08-31,0.155145,569.1169
130939,2098.53,2075.0,90.75,0.02,1.0113397590361446,180.0,10,2015-03-04,2015-08-31,0.148806,578.7023
