,close,strike_price,price,rf,S/K,day_diff,date,exdate,impl_volatility,vega
10745,1314.5,1120.0,193.05,0.06,0.8520349942944085,30.0,2012-01-19,2012-02-18,0.280511,16.6997
10746,1314.5,1125.0,188.25,0.06,0.8558387219475085,30.0,2012-01-19,2012-02-18,0.284526,19.846339999999998
10747,1314.5,1130.0,183.2,0.06,0.8596424496006086,30.0,2012-01-19,2012-02-18,0.274981,19.519470000000002
10748,1314.5,1135.0,178.35,0.06,0.8634461772537086,30.0,2012-01-19,2012-02-18,0.275185,21.94436
10749,1314.5,1140.0,173.45,0.06,0.8672499049068086,30.0,2012-01-19,2012-02-18,0.272436,23.67278
10750,1314.5,1145.0,168.55,0.06,0.8710536325599088,30.0,2012-01-19,2012-02-18,0.269307,25.40312
10751,1314.5,1150.0,163.65,0.06,0.8748573602130088,30.0,2012-01-19,2012-02-18,0.265841,27.14147
10752,1314.5,1155.0,158.9,0.06,0.8786610878661087,30.0,2012-01-19,2012-02-18,0.267113,30.61477
10753,1314.5,1160.0,154.1,0.06,0.8824648155192089,30.0,2012-01-19,2012-02-18,0.265829,33.42431
10754,1314.5,1165.0,149.25,0.06,0.8862685431723089,30.0,2012-01-19,2012-02-18,0.262535,35.68111
10755,1314.5,1170.0,144.5,0.06,0.8900722708254089,30.0,2012-01-19,2012-02-18,0.261491,38.92133
10756,1314.5,1175.0,139.7,0.06,0.893875998478509,30.0,2012-01-19,2012-02-18,0.258589,41.637609999999995
10757,1314.5,1180.0,134.65,0.06,0.897679726131609,30.0,2012-01-19,2012-02-18,0.249481,42.05689
10758,1314.5,1185.0,130.1,0.06,0.9014834537847091,30.0,2012-01-19,2012-02-18,0.251569,47.061370000000004
10759,1314.5,1190.0,125.35,0.06,0.9052871814378091,30.0,2012-01-19,2012-02-18,0.248523,50.19702
10760,1314.5,1195.0,120.55,0.06,0.9090909090909091,30.0,2012-01-19,2012-02-18,0.24410300000000001,52.9312
10761,1314.5,1200.0,115.85,0.06,0.9128946367440092,30.0,2012-01-19,2012-02-18,0.241171,56.448269999999994
10762,1314.5,1205.0,111.1,0.06,0.9166983643971092,30.0,2012-01-19,2012-02-18,0.236931,59.586290000000005
