,close,strike_price,price,rf,S/K,day_diff,weekNo,date,exdate,impl_volatility,vega
9224,1293.67,1375.0,6.8,0.06,0.9408509090909092,60.0,3,2012-01-17,2012-03-17,0.158466,126.3358
10257,1308.04,1215.0,125.5,0.06,1.0765761316872429,150.0,3,2012-01-18,2012-06-16,0.24244899999999997,289.6902
10260,1308.04,1230.0,114.45,0.06,1.0634471544715447,150.0,3,2012-01-18,2012-06-16,0.236659,299.7433
10263,1308.04,1300.0,67.85,0.06,1.0061846153846155,150.0,3,2012-01-18,2012-06-16,0.20924299999999998,328.5963
10266,1308.04,1365.0,34.55,0.06,0.9582710622710623,150.0,3,2012-01-18,2012-06-16,0.184925,307.4549
10269,1308.04,1425.0,14.6,0.06,0.9179228070175438,150.0,3,2012-01-18,2012-06-16,0.164963,231.9526
16029,1318.43,1200.0,154.7,0.06,1.0986916666666666,240.0,4,2012-01-26,2012-09-22,0.23806999999999998,365.2413
16031,1318.43,1250.0,119.0,0.06,1.0547440000000001,240.0,4,2012-01-26,2012-09-22,0.221929,397.6859
16033,1318.43,1300.0,87.0,0.06,1.014176923076923,240.0,4,2012-01-26,2012-09-22,0.206223,416.3491
16035,1318.43,1350.0,58.95,0.06,0.9766148148148148,240.0,4,2012-01-26,2012-09-22,0.189666,412.765
16037,1318.43,1400.0,36.849999999999994,0.06,0.9417357142857143,240.0,4,2012-01-26,2012-09-22,0.175279,379.0926
16039,1318.43,1450.0,20.8,0.06,0.9092620689655173,240.0,4,2012-01-26,2012-09-22,0.162555,314.3492
18322,1313.01,1315.0,33.55,0.06,0.9984866920152091,60.0,5,2012-01-30,2012-03-30,0.17385899999999999,209.6707
19401,1312.41,1200.0,136.95,0.06,1.0936750000000002,150.0,5,2012-01-31,2012-06-29,0.237289,274.4107
19404,1312.41,1275.0,82.95,0.06,1.0293411764705882,150.0,5,2012-01-31,2012-06-29,0.20964899999999997,323.1065
19407,1312.41,1350.0,40.55,0.06,0.9721555555555557,150.0,5,2012-01-31,2012-06-29,0.182686,320.8709
19410,1312.41,1425.0,14.05,0.06,0.9209894736842106,150.0,5,2012-01-31,2012-06-29,0.158616,232.6572
20466,1324.09,1225.0,142.0,0.06,1.0808897959183672,240.0,5,2012-02-01,2012-09-28,0.234866,382.5428
20468,1324.09,1275.0,107.69999999999999,0.06,1.0385019607843136,240.0,5,2012-02-01,2012-09-28,0.218783,409.8656
20470,1324.09,1325.0,76.7,0.06,0.9993132075471698,240.0,5,2012-02-01,2012-09-28,0.201646,420.7507
20472,1324.09,1375.0,50.95,0.06,0.9629745454545454,240.0,5,2012-02-01,2012-09-28,0.18623900000000002,406.6943
20474,1324.09,1425.0,31.35,0.06,0.9291859649122807,240.0,5,2012-02-01,2012-09-28,0.17336500000000002,362.591
31529,1358.04,1290.0,74.5,0.06,1.0527441860465117,30.0,7,2012-02-16,2012-03-17,0.213531,102.5483
33137,1361.23,1260.0,124.7,0.06,1.0803412698412698,120.0,7,2012-02-17,2012-06-16,0.233202,255.8494
33142,1361.23,1310.0,86.65,0.06,1.0391068702290076,120.0,7,2012-02-17,2012-06-16,0.209735,290.409
33147,1361.23,1350.0,60.2,0.06,1.0083185185185186,120.0,7,2012-02-17,2012-06-16,0.192749,305.5847
33152,1361.23,1380.0,43.05,0.06,0.9863985507246377,120.0,7,2012-02-17,2012-06-16,0.180154,303.1312
33157,1361.23,1425.0,22.8,0.06,0.9552491228070176,120.0,7,2012-02-17,2012-06-16,0.162392,267.6553
33162,1361.23,1470.0,9.85,0.06,0.9260068027210885,120.0,7,2012-02-17,2012-06-16,0.146983,194.0856
33167,1361.23,1510.0,4.0,0.06,0.901476821192053,120.0,7,2012-02-17,2012-06-16,0.137462,119.7344
33934,1362.21,1295.0,81.35,0.06,1.051899613899614,60.0,8,2012-02-21,2012-04-21,0.20360599999999998,177.6735
41236,1365.68,1475.0,0.325,0.06,0.925884745762712,30.0,9,2012-02-29,2012-03-30,0.13185999999999998,16.950129999999998
42370,1374.09,1275.0,120.6,0.06,1.0777176470588234,120.0,9,2012-03-01,2012-06-29,0.219847,258.2163
42375,1374.09,1400.0,37.05,0.06,0.9814928571428571,120.0,9,2012-03-01,2012-06-29,0.167245,303.4682
42380,1374.09,1525.0,3.2,0.06,0.9010426229508196,120.0,9,2012-03-01,2012-06-29,0.12998800000000002,107.9863
43562,1369.63,1275.0,135.05,0.06,1.0742196078431374,210.0,9,2012-03-02,2012-09-28,0.227735,370.8478
43564,1369.63,1325.0,100.15,0.06,1.0336830188679247,210.0,9,2012-03-02,2012-09-28,0.210271,398.3807
43566,1369.63,1375.0,69.35,0.06,0.9960945454545456,210.0,9,2012-03-02,2012-09-28,0.193017,407.6718
43568,1369.63,1425.0,43.95,0.06,0.9611438596491229,210.0,9,2012-03-02,2012-09-28,0.176821,388.30699999999996
43570,1369.63,1475.0,24.799999999999997,0.06,0.9285627118644069,210.0,9,2012-03-02,2012-09-28,0.161954,333.2982
45835,1343.36,1225.0,170.25,0.06,1.0966204081632651,300.0,10,2012-03-06,2012-12-31,0.25216,429.9691
