,close,strike_price,price,rf,S/K,day_diff,weekNo,date,exdate,impl_volatility,vega
5855,2270.75,2160.0,114.5,0.8,1.051273148148148,30.0,1,2017-01-04,2017-02-03,0.150499,127.0676
5905,2270.75,2410.0,0.5,0.8,0.9422199170124481,30.0,1,2017-01-04,2017-02-03,0.104124,31.71733
17438,2268.9,2280.0,31.900000000000002,0.8,0.9951315789473685,60.0,2,2017-01-09,2017-03-10,0.10626400000000001,359.8834
24026,2275.32,2135.0,140.4,0.8,1.0657236533957846,30.0,2,2017-01-11,2017-02-10,0.142027,72.45226
24076,2275.32,2385.0,0.8,0.8,0.9540125786163522,30.0,2,2017-01-11,2017-02-10,0.092863,48.77544
32786,2267.89,2075.0,213.1,0.8,1.0929590361445782,150.0,3,2017-01-17,2017-06-16,0.170449,403.6907
32789,2267.89,2150.0,151.7,0.8,1.0548325581395348,150.0,3,2017-01-17,2017-06-16,0.154093,491.5783
32792,2267.89,2225.0,96.55,0.8,1.019276404494382,150.0,3,2017-01-17,2017-06-16,0.137033,559.6837
32795,2267.89,2300.0,50.85,0.8,0.9860391304347825,150.0,3,2017-01-17,2017-06-16,0.11927,562.9919
32798,2267.89,2375.0,20.0,0.8,0.9549010526315789,150.0,3,2017-01-17,2017-06-16,0.10360699999999999,443.3732
32801,2267.89,2450.0,6.300000000000001,0.8,0.925669387755102,150.0,3,2017-01-17,2017-06-16,0.095971,250.6283
35656,2271.89,2080.0,192.0,0.8,1.0922548076923075,30.0,3,2017-01-18,2017-02-17,0.18626600000000001,61.18311
35706,2271.89,2330.0,3.0,0.8,0.9750600858369098,30.0,3,2017-01-18,2017-02-17,0.07882,129.2182
36280,2271.89,2075.0,236.05,0.8,1.0948867469879517,240.0,3,2017-01-18,2017-09-15,0.176844,578.6879
36282,2271.89,2125.0,196.95,0.8,1.069124705882353,240.0,3,2017-01-18,2017-09-15,0.167707,631.5633
36284,2271.89,2175.0,159.7,0.8,1.0445471264367816,240.0,3,2017-01-18,2017-09-15,0.15804300000000002,677.4734
36286,2271.89,2225.0,125.1,0.8,1.0210741573033708,240.0,3,2017-01-18,2017-09-15,0.14839000000000002,711.0435
36288,2271.89,2275.0,93.5,0.8,0.998632967032967,240.0,3,2017-01-18,2017-09-15,0.138441,724.248
36290,2271.89,2325.0,66.25,0.8,0.9771569892473118,240.0,3,2017-01-18,2017-09-15,0.129178,707.4092
36292,2271.89,2375.0,43.8,0.8,0.9565852631578947,240.0,3,2017-01-18,2017-09-15,0.12040999999999999,652.006
36294,2271.89,2425.0,26.55,0.8,0.936861855670103,240.0,3,2017-01-18,2017-09-15,0.112219,555.5707
36296,2271.89,2475.0,15.15,0.8,0.9179353535353535,240.0,3,2017-01-18,2017-09-15,0.10628599999999999,434.4099
54241,2298.37,2295.0,23.25,0.8,1.0014684095860567,30.0,4,2017-01-25,2017-02-24,0.08758200000000001,257.8931
64480,2280.9,2120.0,166.2,0.8,1.0758962264150944,60.0,5,2017-01-30,2017-03-31,0.158689,187.5186
64530,2280.9,2370.0,5.199999999999999,0.8,0.9624050632911393,60.0,5,2017-01-30,2017-03-31,0.087378,195.0233
67878,2278.87,2100.0,193.55,0.8,1.0851761904761905,120.0,5,2017-01-31,2017-05-31,0.161912,344.5521
67883,2278.87,2225.0,93.4,0.8,1.0242112359550561,120.0,5,2017-01-31,2017-05-31,0.13196300000000002,490.7029
67888,2278.87,2350.0,23.2,0.8,0.969731914893617,120.0,5,2017-01-31,2017-05-31,0.10153200000000001,442.7849
67941,2278.87,2075.0,221.89999999999998,0.8,1.0982506024096386,150.0,5,2017-01-31,2017-06-30,0.170872,391.1979
67944,2278.87,2150.0,159.7,0.8,1.0599395348837208,150.0,5,2017-01-31,2017-06-30,0.154682,480.7062
67947,2278.87,2225.0,103.4,0.8,1.0242112359550561,150.0,5,2017-01-31,2017-06-30,0.137797,554.8473
67950,2278.87,2300.0,56.25,0.8,0.9908130434782608,150.0,5,2017-01-31,2017-06-30,0.12052,571.5019
67953,2278.87,2375.0,23.25,0.8,0.9595242105263158,150.0,5,2017-01-31,2017-06-30,0.104852,470.4096
67956,2278.87,2450.0,7.35,0.8,0.9301510204081632,150.0,5,2017-01-31,2017-06-30,0.09564,276.0083
70425,2279.55,2225.0,61.6,0.8,1.0245168539325844,30.0,5,2017-02-01,2017-03-03,0.11001500000000002,190.5819
71124,2279.55,2075.0,228.8,0.8,1.098578313253012,180.0,5,2017-02-01,2017-07-31,0.173238,457.63599999999997
71125,2279.55,2100.0,208.0,0.8,1.0855000000000001,180.0,5,2017-02-01,2017-07-31,0.168113,486.6952
71126,2279.55,2125.0,187.75,0.8,1.072729411764706,180.0,5,2017-02-01,2017-07-31,0.163072,515.5311
