,close,strike_price,price,rf,S/K,day_diff,date,exdate,impl_volatility,vega
11396,1280.26,1000.0,278.5,0.04,0.7810913408213956,30.0,2011-01-20,2011-02-19,0.31158,2.169036
11397,1280.26,1005.0,273.54999999999995,0.04,0.7849967975255027,30.0,2011-01-20,2011-02-19,0.323452,3.3866330000000002
11398,1280.26,1010.0,268.6,0.04,0.7889022542296096,30.0,2011-01-20,2011-02-19,0.329782,4.4871
11399,1280.26,1015.0,263.6,0.04,0.7928077109337166,30.0,2011-01-20,2011-02-19,0.323309,4.538958
11400,1280.26,1020.0,258.65,0.04,0.7967131676378236,30.0,2011-01-20,2011-02-19,0.326702,5.588908999999999
11401,1280.26,1025.0,253.7,0.04,0.8006186243419305,30.0,2011-01-20,2011-02-19,0.328334,6.594498
11402,1280.26,1030.0,248.7,0.04,0.8045240810460376,30.0,2011-01-20,2011-02-19,0.321713,6.685119
11403,1280.26,1035.0,243.75,0.04,0.8084295377501445,30.0,2011-01-20,2011-02-19,0.322038,7.677639999999999
11404,1280.26,1040.0,238.8,0.04,0.8123349944542515,30.0,2011-01-20,2011-02-19,0.32145300000000004,8.649460000000001
11405,1280.26,1045.0,233.85,0.04,0.8162404511583584,30.0,2011-01-20,2011-02-19,0.32016,9.608184
11406,1280.26,1050.0,228.9,0.04,0.8201459078624654,30.0,2011-01-20,2011-02-19,0.318288,10.55821
11407,1280.26,1055.0,223.95,0.04,0.8240513645665725,30.0,2011-01-20,2011-02-19,0.31594099999999997,11.5048
11408,1280.26,1060.0,219.0,0.04,0.8279568212706794,30.0,2011-01-20,2011-02-19,0.313184,12.45059
11409,1280.26,1065.0,214.05,0.04,0.8318622779747864,30.0,2011-01-20,2011-02-19,0.310075,13.3991
11410,1280.26,1070.0,209.1,0.04,0.8357677346788933,30.0,2011-01-20,2011-02-19,0.306662,14.353470000000002
11411,1280.26,1075.0,204.2,0.04,0.8396731913830003,30.0,2011-01-20,2011-02-19,0.306167,16.00854
11412,1280.26,1080.0,199.2,0.04,0.8435786480871074,30.0,2011-01-20,2011-02-19,0.299041,16.287670000000002
11413,1280.26,1085.0,194.25,0.04,0.8474841047912143,30.0,2011-01-20,2011-02-19,0.29488600000000004,17.27201
11414,1280.26,1090.0,189.35000000000002,0.04,0.8513895614953213,30.0,2011-01-20,2011-02-19,0.293218,18.93769
11415,1280.26,1095.0,184.45,0.04,0.8552950181994282,30.0,2011-01-20,2011-02-19,0.291004,20.58892
11416,1280.26,1100.0,179.5,0.04,0.8592004749035352,30.0,2011-01-20,2011-02-19,0.286044,21.61166
11417,1280.26,1105.0,174.6,0.04,0.8631059316076422,30.0,2011-01-20,2011-02-19,0.28312,23.27427
11418,1280.26,1110.0,169.7,0.04,0.8670113883117492,30.0,2011-01-20,2011-02-19,0.279817,24.94012
11419,1280.26,1115.0,164.8,0.04,0.8709168450158562,30.0,2011-01-20,2011-02-19,0.27617600000000003,26.6143
11420,1280.26,1120.0,159.85,0.04,0.8748223017199631,30.0,2011-01-20,2011-02-19,0.270449,27.73142
11421,1280.26,1125.0,155.0,0.04,0.8787277584240701,30.0,2011-01-20,2011-02-19,0.268014,30.009159999999998
11422,1280.26,1130.0,150.14999999999998,0.04,0.882633215128177,30.0,2011-01-20,2011-02-19,0.26510300000000003,32.27639
11423,1280.26,1135.0,145.2,0.04,0.8865386718322841,30.0,2011-01-20,2011-02-19,0.258833,33.495870000000004
11424,1280.26,1140.0,140.4,0.04,0.8904441285363911,30.0,2011-01-20,2011-02-19,0.25669699999999995,36.314040000000006
11425,1280.26,1145.0,135.55,0.04,0.894349585240498,30.0,2011-01-20,2011-02-19,0.25273,38.61808
11426,1280.26,1150.0,130.7,0.04,0.898255041944605,30.0,2011-01-20,2011-02-19,0.248442,40.94316
11427,1280.26,1155.0,125.85,0.04,0.902160498648712,30.0,2011-01-20,2011-02-19,0.243856,43.29633
11428,1280.26,1160.0,121.0,0.04,0.906065955352819,30.0,2011-01-20,2011-02-19,0.238992,45.68486
11429,1280.26,1165.0,116.25,0.04,0.9099714120569259,30.0,2011-01-20,2011-02-19,0.235927,48.98464
11430,1280.26,1170.0,111.5,0.04,0.9138768687610329,30.0,2011-01-20,2011-02-19,0.232383,52.27138
11431,1280.26,1175.0,106.75,0.04,0.9177823254651399,30.0,2011-01-20,2011-02-19,0.22840300000000002,55.559459999999994
11432,1280.26,1180.0,102.05,0.04,0.9216877821692468,30.0,2011-01-20,2011-02-19,0.22486799999999998,59.23226
11433,1280.26,1185.0,97.1,0.04,0.9255932388733539,30.0,2011-01-20,2011-02-19,0.21683200000000002,61.10405
11434,1280.26,1190.0,92.45,0.04,0.9294986955774608,30.0,2011-01-20,2011-02-19,0.21339,65.21564000000001
11435,1280.26,1195.0,87.85,0.04,0.9334041522815678,30.0,2011-01-20,2011-02-19,0.21014899999999997,69.62334
11436,1280.26,1200.0,83.25,0.04,0.9373096089856748,30.0,2011-01-20,2011-02-19,0.20634499999999997,73.9817
11437,1280.26,1205.0,78.65,0.04,0.9412150656897817,30.0,2011-01-20,2011-02-19,0.20202,78.31228
11438,1280.26,1210.0,74.15,0.04,0.9451205223938888,30.0,2011-01-20,2011-02-19,0.19841,83.14399999999999
11439,1280.26,1215.0,69.65,0.04,0.9490259790979957,30.0,2011-01-20,2011-02-19,0.194206,87.90199
11440,1280.26,1220.0,65.25,0.04,0.9529314358021027,30.0,2011-01-20,2011-02-19,0.190518,93.02423
11441,1280.26,1225.0,60.9,0.04,0.9568368925062097,30.0,2011-01-20,2011-02-19,0.186692,98.21139000000001
11442,1280.26,1230.0,56.6,0.04,0.9607423492103166,30.0,2011-01-20,2011-02-19,0.18268299999999998,103.4178
11443,1280.26,1235.0,52.4,0.04,0.9646478059144237,30.0,2011-01-20,2011-02-19,0.17890599999999998,108.73299999999999
11444,1280.26,1240.0,48.3,0.04,0.9685532626185306,30.0,2011-01-20,2011-02-19,0.175255,114.0398
11445,1280.26,1245.0,44.3,0.04,0.9724587193226376,30.0,2011-01-20,2011-02-19,0.17163699999999998,119.2205
11446,1280.26,1250.0,40.45,0.04,0.9763641760267445,30.0,2011-01-20,2011-02-19,0.16836800000000002,124.2271
11447,1280.26,1255.0,36.7,0.04,0.9802696327308515,30.0,2011-01-20,2011-02-19,0.164941,128.8318
11448,1280.26,1260.0,32.95,0.04,0.9841750894349586,30.0,2011-01-20,2011-02-19,0.16053399999999998,132.8507
11449,1280.26,1265.0,29.45,0.04,0.9880805461390655,30.0,2011-01-20,2011-02-19,0.156971,136.3371
11450,1280.26,1270.0,26.15,0.04,0.9919860028431725,30.0,2011-01-20,2011-02-19,0.15373699999999998,139.0231
11451,1280.26,1275.0,22.9,0.04,0.9958914595472794,30.0,2011-01-20,2011-02-19,0.14966400000000002,140.7083
11452,1280.26,1280.0,20.15,0.04,0.9997969162513864,30.0,2011-01-20,2011-02-19,0.147862,141.2337
11453,1280.26,1285.0,17.3,0.04,1.0037023729554935,30.0,2011-01-20,2011-02-19,0.143994,140.42700000000002
11454,1280.26,1290.0,14.6,0.04,1.0076078296596005,30.0,2011-01-20,2011-02-19,0.139735,138.0952
11455,1280.26,1295.0,12.65,0.04,1.0115132863637073,30.0,2011-01-20,2011-02-19,0.139427,134.4913
11456,1280.26,1300.0,10.05,0.04,1.0154187430678143,30.0,2011-01-20,2011-02-19,0.13261199999999998,128.442
11457,1280.26,1305.0,8.7,0.04,1.0193241997719213,30.0,2011-01-20,2011-02-19,0.13383399999999998,122.4006
11458,1280.26,1310.0,7.1,0.04,1.0232296564760284,30.0,2011-01-20,2011-02-19,0.1315,114.3267
11459,1280.26,1315.0,5.85,0.04,1.0271351131801354,30.0,2011-01-20,2011-02-19,0.130557,105.7685
11460,1280.26,1320.0,4.6,0.04,1.0310405698842422,30.0,2011-01-20,2011-02-19,0.127856,95.51328000000001
11461,1280.26,1325.0,3.95,0.04,1.0349460265883492,30.0,2011-01-20,2011-02-19,0.129881,87.78359
11462,1280.26,1330.0,2.7,0.04,1.0388514832924562,30.0,2011-01-20,2011-02-19,0.12291400000000001,73.48132
11463,1280.26,1335.0,2.25,0.04,1.0427569399965633,30.0,2011-01-20,2011-02-19,0.124375,65.61504000000001
11464,1280.26,1340.0,1.725,0.04,1.0466623967006703,30.0,2011-01-20,2011-02-19,0.12325599999999999,56.06847
11465,1280.26,1345.0,1.4,0.04,1.050567853404777,30.0,2011-01-20,2011-02-19,0.124174,48.84063
11466,1280.26,1350.0,1.025,0.04,1.0544733101088841,30.0,2011-01-20,2011-02-19,0.122478,40.06912
11467,1280.26,1355.0,0.625,0.04,1.0583787668129911,30.0,2011-01-20,2011-02-19,0.11721500000000001,29.28128
11468,1280.26,1360.0,0.65,0.04,1.0622842235170982,30.0,2011-01-20,2011-02-19,0.1241,28.92522
11469,1280.26,1365.0,0.675,0.04,1.066189680221205,30.0,2011-01-20,2011-02-19,0.13095299999999999,28.6105
11470,1280.26,1370.0,0.45,0.04,1.070095136925312,30.0,2011-01-20,2011-02-19,0.127771,21.69241
11471,1280.26,1375.0,0.4,0.04,1.074000593629419,30.0,2011-01-20,2011-02-19,0.130889,19.52938
11472,1280.26,1380.0,0.3,0.04,1.077906050333526,30.0,2011-01-20,2011-02-19,0.130574,15.752720000000002
11473,1280.26,1385.0,0.475,0.04,1.081811507037633,30.0,2011-01-20,2011-02-19,0.145597,20.52351
11474,1280.26,1390.0,0.45,0.04,1.0857169637417399,30.0,2011-01-20,2011-02-19,0.149782,19.30789
