,close,strike_price,price,rf,S/K,day_diff,weekNo,date,exdate,impl_volatility,vega
2559,2012.66,1975.0,77.15,0.2,1.0190683544303798,60.0,1,2016-01-04,2016-03-04,0.186058,311.2623
2609,2012.66,2225.0,0.375,0.2,0.9045662921348315,60.0,1,2016-01-04,2016-03-04,0.112305,25.43374
3287,2012.66,1850.0,220.5,0.2,1.0879243243243244,270.0,1,2016-01-04,2016-09-30,0.21059699999999998,597.9893
3289,2012.66,1900.0,184.9,0.2,1.0592947368421053,270.0,1,2016-01-04,2016-09-30,0.201377,635.249
3291,2012.66,1950.0,151.55,0.2,1.0321333333333333,270.0,1,2016-01-04,2016-09-30,0.192028,663.1407
3293,2012.66,2000.0,120.69999999999999,0.2,1.00633,270.0,1,2016-01-04,2016-09-30,0.18243,677.7024
3295,2012.66,2050.0,92.8,0.2,0.9817853658536586,270.0,1,2016-01-04,2016-09-30,0.172715,674.3934
3297,2012.66,2100.0,68.15,0.2,0.9584095238095238,270.0,1,2016-01-04,2016-09-30,0.16275699999999999,648.4261
3299,2012.66,2150.0,47.25,0.2,0.9361209302325582,270.0,1,2016-01-04,2016-09-30,0.152755,595.7939
3301,2012.66,2200.0,30.6,0.2,0.9148454545454546,270.0,1,2016-01-04,2016-09-30,0.143131,515.9294
8765,1990.26,1905.0,100.35,0.2,1.044755905511811,30.0,1,2016-01-06,2016-02-05,0.220092,172.90599999999998
8815,1990.26,2155.0,0.525,0.2,0.923554524361949,30.0,1,2016-01-06,2016-02-05,0.13691199999999998,25.9699
20080,1923.67,1995.0,24.200000000000003,0.2,0.9642456140350878,60.0,2,2016-01-11,2016-03-11,0.17203,267.4098
26220,1890.28,1825.0,90.25,0.2,1.0357698630136987,30.0,2,2016-01-13,2016-02-12,0.254848,186.7124
26270,1890.28,2075.0,0.65,0.2,0.910978313253012,30.0,2,2016-01-13,2016-02-12,0.162737,26.495009999999997
35213,1881.33,1750.0,181.75,0.2,1.0750457142857142,150.0,3,2016-01-19,2016-06-17,0.24390900000000001,418.9259
35216,1881.33,1825.0,128.9,0.2,1.0308657534246575,150.0,3,2016-01-19,2016-06-17,0.223975,461.7408
