,close,strike_price,price,rf,S/K,day_diff,date,exdate,impl_volatility,vega
1223,1831.98,1300.0,519.95,0.02,0.7096147337853034,271.0,2014-01-02,2014-09-30,0.260668,175.2466
1224,1831.98,1325.0,496.1,0.02,0.7232611709734822,271.0,2014-01-02,2014-09-30,0.254398,190.4819
1225,1831.98,1350.0,472.4,0.02,0.7369076081616611,271.0,2014-01-02,2014-09-30,0.248352,207.0771
1226,1831.98,1375.0,448.79999999999995,0.02,0.75055404534984,271.0,2014-01-02,2014-09-30,0.242206,224.5848
1227,1831.98,1400.0,425.45,0.02,0.764200482538019,271.0,2014-01-02,2014-09-30,0.23654499999999998,243.9887
1228,1831.98,1425.0,402.25,0.02,0.7778469197261979,271.0,2014-01-02,2014-09-30,0.230823,264.4439
1229,1831.98,1450.0,379.25,0.02,0.7914933569143768,271.0,2014-01-02,2014-09-30,0.22516399999999998,286.159
1230,1831.98,1475.0,356.5,0.02,0.8051397941025557,271.0,2014-01-02,2014-09-30,0.219648,309.2527
1231,1831.98,1500.0,334.05,0.02,0.8187862312907346,271.0,2014-01-02,2014-09-30,0.214325,333.7502
1232,1831.98,1525.0,311.9,0.02,0.8324326684789135,271.0,2014-01-02,2014-09-30,0.209076,359.3621
1233,1831.98,1550.0,290.05,0.02,0.8460791056670924,271.0,2014-01-02,2014-09-30,0.203805,385.8002
1234,1831.98,1575.0,268.6,0.02,0.8597255428552714,271.0,2014-01-02,2014-09-30,0.198673,413.1076
1235,1831.98,1600.0,247.55,0.02,0.8733719800434503,271.0,2014-01-02,2014-09-30,0.19356500000000001,440.8432
1236,1831.98,1625.0,227.1,0.02,0.8870184172316291,271.0,2014-01-02,2014-09-30,0.188808,469.026
1237,1831.98,1650.0,206.85,0.02,0.900664854419808,271.0,2014-01-02,2014-09-30,0.18343800000000002,496.1783
1238,1831.98,1675.0,187.7,0.02,0.914311291607987,271.0,2014-01-02,2014-09-30,0.179168,523.3615
1239,1831.98,1700.0,168.5,0.02,0.9279577287961659,271.0,2014-01-02,2014-09-30,0.17363699999999999,548.0503
1240,1831.98,1725.0,150.45,0.02,0.9416041659843448,271.0,2014-01-02,2014-09-30,0.168993,570.9684
1241,1831.98,1750.0,133.8,0.02,0.9552506031725237,271.0,2014-01-02,2014-09-30,0.165445,590.814
1242,1831.98,1775.0,117.15,0.02,0.9688970403607026,271.0,2014-01-02,2014-09-30,0.160483,606.058
1243,1831.98,1800.0,100.9,0.02,0.9825434775488815,271.0,2014-01-02,2014-09-30,0.15473499999999998,616.1389
1244,1831.98,1825.0,86.85,0.02,0.9961899147370604,271.0,2014-01-02,2014-09-30,0.15099300000000002,619.8904
1245,1831.98,1850.0,73.35,0.02,1.0098363519252394,271.0,2014-01-02,2014-09-30,0.146457,616.2652
1246,1831.98,1875.0,61.2,0.02,1.0234827891134182,271.0,2014-01-02,2014-09-30,0.142325,604.4312
