,close,strike_price,price,rf,S/K,day_diff,date,exdate,impl_volatility,vega
56700,2021.25,1425.0,587.2,0.02,0.7050092764378478,120.0,2015-01-29,2015-05-29,0.285682,41.31472
56701,2021.25,1450.0,562.8,0.02,0.717377860235003,120.0,2015-01-29,2015-05-29,0.285235,51.57631
56702,2021.25,1475.0,538.4,0.02,0.7297464440321583,120.0,2015-01-29,2015-05-29,0.28230700000000003,61.5093
56703,2021.25,1500.0,514.3,0.02,0.7421150278293135,120.0,2015-01-29,2015-05-29,0.28177199999999997,74.91669
56704,2021.25,1525.0,490.25,0.02,0.7544836116264688,120.0,2015-01-29,2015-05-29,0.279431,88.38866999999999
56705,2021.25,1550.0,466.25,0.02,0.766852195423624,120.0,2015-01-29,2015-05-29,0.27573600000000004,102.0576
56706,2021.25,1575.0,442.3,0.02,0.7792207792207793,120.0,2015-01-29,2015-05-29,0.270965,116.0186
56707,2021.25,1600.0,418.7,0.02,0.7915893630179345,120.0,2015-01-29,2015-05-29,0.26757800000000004,132.8829
56708,2021.25,1625.0,394.9,0.02,0.8039579468150897,120.0,2015-01-29,2015-05-29,0.261248,147.8709
56709,2021.25,1650.0,372.04999999999995,0.02,0.8163265306122449,120.0,2015-01-29,2015-05-29,0.259608,169.6684
56710,2021.25,1675.0,349.0,0.02,0.8286951144094001,120.0,2015-01-29,2015-05-29,0.254915,189.3248
56711,2021.25,1700.0,325.95000000000005,0.02,0.8410636982065554,120.0,2015-01-29,2015-05-29,0.24883200000000003,208.6556
56712,2021.25,1725.0,303.15,0.02,0.8534322820037106,120.0,2015-01-29,2015-05-29,0.242659,229.1299
56713,2021.25,1750.0,279.95000000000005,0.02,0.8658008658008658,120.0,2015-01-29,2015-05-29,0.233658,247.5759
56714,2021.25,1775.0,257.75,0.02,0.878169449598021,120.0,2015-01-29,2015-05-29,0.22753,270.4677
56715,2021.25,1800.0,235.95,0.02,0.8905380333951762,120.0,2015-01-29,2015-05-29,0.221414,294.2751
56716,2021.25,1825.0,214.55,0.02,0.9029066171923315,120.0,2015-01-29,2015-05-29,0.215131,318.54400000000004
56717,2021.25,1850.0,193.6,0.02,0.9152752009894867,120.0,2015-01-29,2015-05-29,0.20867600000000003,342.9375
56718,2021.25,1875.0,173.14999999999998,0.02,0.9276437847866419,120.0,2015-01-29,2015-05-29,0.202021,366.9958
56719,2021.25,1900.0,153.14999999999998,0.02,0.9400123685837971,120.0,2015-01-29,2015-05-29,0.194865,389.9937
56720,2021.25,1925.0,134.15,0.02,0.9523809523809523,120.0,2015-01-29,2015-05-29,0.188398,411.7513
56721,2021.25,1950.0,115.75,0.02,0.9647495361781077,120.0,2015-01-29,2015-05-29,0.181348,430.6335
56722,2021.25,1975.0,98.25,0.02,0.9771181199752629,120.0,2015-01-29,2015-05-29,0.17419600000000002,445.6219
56723,2021.25,2000.0,81.85,0.02,0.9894867037724181,120.0,2015-01-29,2015-05-29,0.167099,455.1749
56724,2021.25,2025.0,66.6,0.02,1.0018552875695732,120.0,2015-01-29,2015-05-29,0.159856,457.4806
56725,2021.25,2050.0,52.8,0.02,1.0142238713667284,120.0,2015-01-29,2015-05-29,0.1528,450.6053
56726,2021.25,2075.0,40.6,0.02,1.0265924551638836,120.0,2015-01-29,2015-05-29,0.145956,432.80400000000003
56727,2021.25,2100.0,30.1,0.02,1.0389610389610389,120.0,2015-01-29,2015-05-29,0.139303,402.9323
56728,2021.25,2125.0,21.4,0.02,1.051329622758194,120.0,2015-01-29,2015-05-29,0.132938,361.0748
56729,2021.25,2150.0,14.55,0.02,1.0636982065553493,120.0,2015-01-29,2015-05-29,0.12707100000000002,309.368
56730,2021.25,2175.0,9.45,0.02,1.0760667903525047,120.0,2015-01-29,2015-05-29,0.12184400000000001,252.0651
56731,2021.25,2200.0,5.9,0.02,1.08843537414966,120.0,2015-01-29,2015-05-29,0.11748900000000001,195.1682
