secid,date,close
108105,20080102,1447.16
108105,20080103,1447.16
108105,20080104,1411.63
108105,20080107,1416.18
108105,20080108,1390.19
108105,20080109,1409.13
108105,20080110,1420.33
108105,20080111,1401.02
108105,20080114,1416.25
108105,20080115,1380.95
108105,20080116,1373.2
108105,20080117,1333.25
108105,20080118,1325.19
108105,20080122,1310.5
108105,20080123,1338.6
108105,20080124,1352.07
108105,20080125,1330.61
108105,20080128,1353.97
108105,20080129,1362.3
108105,20080130,1355.81
108105,20080131,1378.55
108105,20080201,1395.42
108105,20080204,1380.82
108105,20080205,1336.64
108105,20080206,1326.45
108105,20080207,1336.91
108105,20080208,1331.29
108105,20080211,1339.13
108105,20080212,1348.86
108105,20080213,1367.21
108105,20080214,1348.86
108105,20080215,1349.99
108105,20080219,1348.78
108105,20080220,1360.03
108105,20080221,1342.53
108105,20080222,1353.11
108105,20080225,1371.8
108105,20080226,1381.29
108105,20080227,1380.02
108105,20080228,1367.68
108105,20080229,1330.63
108105,20080303,1331.34
108105,20080304,1326.75
108105,20080305,1333.7
108105,20080306,1304.34
108105,20080307,1293.37
108105,20080310,1273.37
108105,20080311,1320.65
108105,20080312,1308.77
108105,20080313,1315.48
108105,20080314,1288.14
108105,20080317,1276.6
108105,20080318,1330.74
108105,20080319,1298.42
108105,20080320,1329.51
108105,20080324,1349.88
108105,20080325,1352.99
108105,20080326,1341.13
108105,20080327,1325.76
108105,20080328,1315.22
108105,20080331,1322.7
108105,20080401,1370.18
108105,20080402,1367.53
108105,20080403,1369.31
108105,20080404,1370.4
108105,20080407,1372.54
108105,20080408,1365.54
108105,20080409,1354.49
108105,20080410,1360.55
108105,20080411,1332.83
108105,20080414,1328.32
108105,20080415,1334.43
108105,20080416,1364.71
108105,20080417,1365.56
108105,20080418,1390.33
108105,20080421,1388.17
108105,20080422,1375.94
108105,20080423,1379.93
108105,20080424,1388.82
108105,20080425,1397.84
108105,20080428,1396.37
108105,20080429,1390.94
108105,20080430,1385.59
108105,20080501,1409.34
108105,20080502,1413.9
108105,20080505,1407.49
108105,20080506,1418.26
108105,20080507,1392.57
108105,20080508,1397.68
108105,20080509,1388.28
108105,20080512,1403.58
108105,20080513,1403.04
108105,20080514,1408.66
108105,20080515,1423.57
108105,20080516,1425.35
108105,20080519,1426.63
108105,20080520,1413.4
108105,20080521,1390.71
108105,20080522,1394.35
108105,20080523,1375.93
108105,20080527,1385.35
108105,20080528,1390.84
108105,20080529,1398.26
108105,20080530,1400.38
108105,20080602,1385.67
108105,20080603,1377.65
108105,20080604,1377.2
108105,20080605,1404.05
108105,20080606,1360.68
108105,20080609,1361.76
108105,20080610,1358.44
108105,20080611,1335.49
108105,20080612,1339.87
108105,20080613,1360.03
108105,20080616,1360.14
108105,20080617,1350.93
108105,20080618,1337.81
108105,20080619,1342.83
108105,20080620,1317.93
108105,20080623,1318
108105,20080624,1314.29
108105,20080625,1321.97
108105,20080626,1283.15
108105,20080627,1278.38
108105,20080630,1280
108105,20080701,1284.91
108105,20080702,1261.52
108105,20080703,1262.9
108105,20080707,1252.31
108105,20080708,1273.7
108105,20080709,1244.69
108105,20080710,1253.39
108105,20080711,1239.49
108105,20080714,1228.3
108105,20080715,1214.91
108105,20080716,1245.36
108105,20080717,1260.32
108105,20080718,1260.68
108105,20080721,1260
108105,20080722,1277
108105,20080723,1282.19
108105,20080724,1252.54
108105,20080725,1257.76
108105,20080728,1234.37
108105,20080729,1263.2
108105,20080730,1284.26
108105,20080731,1267.38
